#,City,District,Ward,address_code
3364,Tỉnh Hà Giang,Huyện Quang Bình,Xã Bằng Lang,R80002669
3365,Tỉnh Hà Giang,Huyện Quang Bình,Xã Hương Sơn,R80002676
3366,Tỉnh Hà Giang,Huyện Quang Bình,Xã Nà Khương,R80002666
3367,Tỉnh Hà Giang,Huyện Quang Bình,Xã Tiên Nguyên,R80002671
3368,Tỉnh Hà Giang,Huyện Quang Bình,Xã Tiên Yên,R80002672
3369,Tỉnh Hà Giang,Huyện Quang Bình,Xã Tân Bắc,R80002670
3370,Tỉnh Hà Giang,Huyện Quang Bình,Xã Tân Nam,R80002668
3371,Tỉnh Hà Giang,Huyện Quang Bình,Xã Tân Trịnh,R80002662
3372,Tỉnh Hà Giang,Huyện Quang Bình,Xã Vĩ Thượng,R80002674
3373,Tỉnh Hà Giang,Huyện Quang Bình,Xã Xuân Giang,R80002667
3374,Tỉnh Hà Giang,Huyện Quang Bình,Xã Xuân Minh,R80002675
3375,Tỉnh Hà Giang,Huyện Quang Bình,Xã Yên Hà,R80002664
3376,Tỉnh Hà Giang,Huyện Quang Bình,Xã Yên Thành,R80002665
3377,Tỉnh Hà Giang,Huyện Quản Bạ,Thị Trấn Tam Sơn,R80002544
3378,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Bát Đại Sơn,R80002535
3379,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Cao Mã Pờ,R80002541
3380,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Cán Tỷ,R80002536
3381,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Lùng Tám,R80002538
3382,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Nghĩa Thuận,R80002532
3383,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Quyết Tiến,R80002533
3384,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Quản Bạ,R80002542
3385,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Thanh Vân,R80002534
3386,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Thái An,R80002539
3387,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Tùng Vài,R80002540
3388,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Tả Ván,R80002543
3389,Tỉnh Hà Giang,Huyện Quản Bạ,Xã Đông Hà,R80002537
3390,Tỉnh Hà Giang,Huyện Vị Xuyên,Thị Trấn Nông Trường Việt Lâm,R80002565
3391,Tỉnh Hà Giang,Huyện Vị Xuyên,Thị Trấn Vị Xuyên,R80002577
3392,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Bạch Ngọc,R80002578
3393,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Cao Bồ,R80002579
3394,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Kim Linh,R80002562
3395,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Kim Thạch,R80002563
3396,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Lao Chải,R80002580
3397,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Linh Hồ,R80002564
3398,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Minh Tân,R80002572
3399,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Ngọc Linh,R80002581
3400,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Ngọc Minh,R80002575
3401,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Phong Quang,R80002573
3402,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Phú Linh,R80002574
3403,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Phương Tiến,R80002570
3404,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Quảng Ngần,R80002558
3405,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Thanh Thủy,R80002559
3406,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Thanh Đức,R80002567
3407,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Thuận Hòa,R80002576
3408,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Thượng Sơn,R80002568
3409,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Trung Thành,R80002569
3410,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Tùng Bá,R80002560
3411,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Việt Lâm,R80002561
3412,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Xín Chải,R80002566
3413,Tỉnh Hà Giang,Huyện Vị Xuyên,Xã Đạo Đức,R80002571
3414,Tỉnh Hà Giang,Huyện Xín Mần,Thị Trấn Cốc Pài,R80002715
3415,Tỉnh Hà Giang,Huyện Xín Mần,Xã Bản Díu,R80002708
3416,Tỉnh Hà Giang,Huyện Xín Mần,Xã Bản Ngò,R80002717
3417,Tỉnh Hà Giang,Huyện Xín Mần,Xã Chí Cà,R80002714
3418,Tỉnh Hà Giang,Huyện Xín Mần,Xã Chế Là,R80199904
3419,Tỉnh Hà Giang,Huyện Xín Mần,Xã Cốc Rế,R80002721
3420,Tỉnh Hà Giang,Huyện Xín Mần,Xã Khuôn Lùng,R80002722
3421,Tỉnh Hà Giang,Huyện Xín Mần,Xã Nà Chì,R80002709
3422,Tỉnh Hà Giang,Huyện Xín Mần,Xã Nàn Ma,R80002710
3423,Tỉnh Hà Giang,Huyện Xín Mần,Xã Nàn Xỉn,R80002716
3424,Tỉnh Hà Giang,Huyện Xín Mần,Xã Nấm Dẩn,R80002723
3425,Tỉnh Hà Giang,Huyện Xín Mần,Xã Pà Vầy Sủ,R80002719
3426,Tỉnh Hà Giang,Huyện Xín Mần,Xã Quảng Nguyên,R80002724
3427,Tỉnh Hà Giang,Huyện Xín Mần,Xã Thu Tà,R80002725
3428,Tỉnh Hà Giang,Huyện Xín Mần,Xã Thèn Phàng,R80002711
3429,Tỉnh Hà Giang,Huyện Xín Mần,Xã Trung Thịnh,R80002712
3430,Tỉnh Hà Giang,Huyện Xín Mần,Xã Tả Nhìu,R80002720
3431,Tỉnh Hà Giang,Huyện Xín Mần,Xã Xín Mần,R80002713
3432,Tỉnh Hà Giang,Huyện Yên Minh,Thị Trấn Yên Minh,R80002651
3433,Tỉnh Hà Giang,Huyện Yên Minh,Xã Bạch Đích,R80002646
3434,Tỉnh Hà Giang,Huyện Yên Minh,Xã Du Già,R80002648
3435,Tỉnh Hà Giang,Huyện Yên Minh,Xã Du Tiến,R80002661
3436,Tỉnh Hà Giang,Huyện Yên Minh,Xã Hữu Vinh,R80002657
3437,Tỉnh Hà Giang,Huyện Yên Minh,Xã Lao Và Chải,R80002658
3438,Tỉnh Hà Giang,Huyện Yên Minh,Xã Lũng Hồ,R80002659
3439,Tỉnh Hà Giang,Huyện Yên Minh,Xã Mậu Duệ,R80002652
3440,Tỉnh Hà Giang,Huyện Yên Minh,Xã Mậu Long,R80002650
3441,Tỉnh Hà Giang,Huyện Yên Minh,Xã Na Khê,R80002653
3442,Tỉnh Hà Giang,Huyện Yên Minh,Xã Ngam La,R80002654
3443,Tỉnh Hà Giang,Huyện Yên Minh,Xã Ngọc Long,R80002644
3444,Tỉnh Hà Giang,Huyện Yên Minh,Xã Phú Lũng,R80002655
3445,Tỉnh Hà Giang,Huyện Yên Minh,Xã Sủng Thài,R80002645
3446,Tỉnh Hà Giang,Huyện Yên Minh,Xã Sủng Tráng,R80002656
3447,Tỉnh Hà Giang,Huyện Yên Minh,Xã Thắng Mố,R80002660
3448,Tỉnh Hà Giang,Huyện Yên Minh,Xã Đông Minh,R80002647
3449,Tỉnh Hà Giang,Huyện Yên Minh,Xã Đường Thượng,R80002649
3450,Tỉnh Hà Giang,Huyện Đồng Văn,Thị Trấn Phó Bảng,R80002622
3451,Tỉnh Hà Giang,Huyện Đồng Văn,Thị Trấn Đồng Văn,R80002610
3452,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Hố Quáng Phìn,R80002620
3453,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Lũng Cú,R80002611
3454,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Lũng Phìn,R80002621
3455,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Lũng Thầu,R80002608
3456,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Lũng Táo,R80002607
3457,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Má Lé,R80002612
3458,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Phố Cáo,R80002616
3459,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Phố Là,R80002613
3460,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Sà Phìn,R80002614
3461,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Sính Lủng,R80002615
3462,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Sảng Tủng,R80002623
3463,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Sủng Là,R80002617
3464,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Sủng Trái,R80002624
3465,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Thài Phìn Tủng,R80002619
3466,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Tả Lủng,R80002625
3467,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Tả Phìn,R80002618
3468,Tỉnh Hà Giang,Huyện Đồng Văn,Xã Vần Chải,R80002609
3469,Tỉnh Hà Giang,Thành Phố Hà Giang,Phường Minh Khai,R80002684
3470,Tỉnh Hà Giang,Thành Phố Hà Giang,Phường Nguyễn Trãi,R80002679
3471,Tỉnh Hà Giang,Thành Phố Hà Giang,Phường Ngọc Hà,R80002678
3472,Tỉnh Hà Giang,Thành Phố Hà Giang,Phường Quang Trung,R80002682
3473,Tỉnh Hà Giang,Thành Phố Hà Giang,Phường Trần Phú,R80002683
3474,Tỉnh Hà Giang,Thành Phố Hà Giang,Xã Ngọc Đường,R80002677
3475,Tỉnh Hà Giang,Thành Phố Hà Giang,Xã Phương Thiện,R80002681
3476,Tỉnh Hà Giang,Thành Phố Hà Giang,Xã Phương Độ,R80002680
3477,Tỉnh Hà Nam,Huyện Bình Lục,Thị Trấn Bình Mỹ,R80007151
3478,Tỉnh Hà Nam,Huyện Bình Lục,Xã An Lão,R80007153
3479,Tỉnh Hà Nam,Huyện Bình Lục,Xã An Ninh,R80007164
3480,Tỉnh Hà Nam,Huyện Bình Lục,Xã An Nội,R80007158
3481,Tỉnh Hà Nam,Huyện Bình Lục,Xã An Đổ,R80007163
3482,Tỉnh Hà Nam,Huyện Bình Lục,Xã Bình Nghĩa,R80007150
3483,Tỉnh Hà Nam,Huyện Bình Lục,Xã Bối Cầu,R80007160
3484,Tỉnh Hà Nam,Huyện Bình Lục,Xã Bồ Đề,R80007154
3485,Tỉnh Hà Nam,Huyện Bình Lục,Xã Hưng Công,R80007155
3486,Tỉnh Hà Nam,Huyện Bình Lục,Xã La Sơn,R80007147
3487,Tỉnh Hà Nam,Huyện Bình Lục,Xã Ngọc Lũ,R80007148
3488,Tỉnh Hà Nam,Huyện Bình Lục,Xã Tiêu Động,R80007157
3489,Tỉnh Hà Nam,Huyện Bình Lục,Xã Trung Lương,R80007152
3490,Tỉnh Hà Nam,Huyện Bình Lục,Xã Tràng An,R80007161
3491,Tỉnh Hà Nam,Huyện Bình Lục,Xã Vũ Bản,R80007162
3492,Tỉnh Hà Nam,Huyện Bình Lục,Xã Đồn Xá,R80007146
3493,Tỉnh Hà Nam,Huyện Bình Lục,Xã Đồng Du,R80007159
3494,Tỉnh Hà Nam,Huyện Duy Tiên,Thị Trấn Hòa Mạc,R80007119
3495,Tỉnh Hà Nam,Huyện Duy Tiên,Thị Trấn Đồng Văn,R80007117
3496,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Bạch Thượng,R80007105
3497,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Chuyên Ngoại,R80007113
3498,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Châu Giang,R80007111
3499,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Châu Sơn,R80007112
3500,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Duy Hải,R80007118
3501,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Duy Minh,R80007108
3502,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Hoàng Đông,R80007121
3503,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Mộc Bắc,R80007122
3504,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Mộc Nam,R80007106
3505,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Tiên Ngoại,R80007114
3506,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Tiên Nội,R80007115
3507,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Tiên Sơn,R80319308
3508,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Tiền Phong,R80007109
3509,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Trác Văn,R80007116
3510,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Yên Bắc,R80007110
3511,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Yên Nam,R80007107
3512,Tỉnh Hà Nam,Huyện Duy Tiên,Xã Đọi Sơn,R80007120
3513,Tỉnh Hà Nam,Huyện Kim Bảng,Thị Trấn Ba Sao,R80007194
3514,Tỉnh Hà Nam,Huyện Kim Bảng,Thị Trấn Quế,R80007198
3515,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Hoàng Tây,R80007190
3516,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Khả Phong,R80007195
3517,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Liên Sơn,R80007191
3518,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Lê Hồ,R80199908
3519,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Nguyễn Úy,R80007197
3520,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Ngọc Sơn,R80007196
3521,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Nhật Tân,R80007183
3522,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Nhật Tựu,R80007186
3523,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Thanh Sơn,R80007188
3524,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Thi Sơn,R80007184
3525,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Thụy Lôi,R80007193
3526,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Tân Sơn,R80007187
3527,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Tượng Lĩnh,R80007185
3528,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Văn Xá,R80007192
3529,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Đại Cương,R80007182
3530,Tỉnh Hà Nam,Huyện Kim Bảng,Xã Đồng Hóa,R80007189
3531,Tỉnh Hà Nam,Huyện Lý Nhân,Thị Trấn Vĩnh Trụ,R80007134
3532,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Bắc Lý,R80007129
3533,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Chân Lý,R80007130
3534,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Chính Lý,R80007142
3535,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Công Lý,R80007131
3536,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Hòa Hậu,R80007143
3537,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Hợp Lý,R80007126
3538,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nguyên Lý,R80007144
3539,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nhân Bình,R80007145
3540,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nhân Chính,R80007140
3541,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nhân Khang,R80007141
3542,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nhân Mỹ,R80007127
3543,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nhân Nghĩa,R80007124
3544,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Nhân Thịnh,R80007128
3545,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Phú Phúc,R80007138
3546,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Tiến Thắng,R80007139
3547,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Trần Hưng Đạo,R80319130
3548,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Văn Lý,R80007133
3549,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Xuân Khê,R80007135
3550,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Đạo Lý,R80007132
3551,Tỉnh Hà Nam,Huyện Lý Nhân,Xã Đức Lý,R80007136
3552,Tỉnh Hà Nam,Huyện Thanh Liêm,Thị Trấn Kiện Khê,R80007172
3553,Tỉnh Hà Nam,Huyện Thanh Liêm,Thị Trấn Tân Thanh,R7212678
3554,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Liêm Cần,R80007173
3555,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Liêm Phong,R80007165
3556,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Liêm Sơn,R80007177
3557,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Liêm Thuận,R80007180
3558,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Liêm Túc,R80007166
3559,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Hà,R80007175
3560,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Hương,R80007176
3561,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Hải,R80007178
3562,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Nghị,R80007179
3563,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Nguyên,R80007167
3564,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Phong,R80007168
3565,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Thủy,R80007171
3566,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Tâm,R80007170
3567,Tỉnh Hà Nam,Huyện Thanh Liêm,Xã Thanh Tân,R80007169
3568,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Châu Sơn,R80007101
3569,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Hai Bà Trưng,R80007102
3570,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Lam Hạ,R80007085
3571,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Liêm Chính,R80007086
3572,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Lê Hồng Phong,R80007103
3573,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Lương Khánh Thiện,R80007104
3574,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Minh Khai,R80007092
3575,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Quang Trung,R80007093
3576,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Thanh Châu,R80007098
3577,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Thanh Tuyền,R80007099
3578,Tỉnh Hà Nam,Thành Phố Phủ Lý,Phường Trần Hưng Đạo,R80007084
3579,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Kim Bình,R80007090
3580,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Liêm Chung,R80007095
3581,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Liêm Tiết,R80007091
3582,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Liêm Tuyền,R80007096
3583,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Phù Vân,R80007087
3584,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Tiên Hiệp,R80007088
3585,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Tiên Hải,R80007089
3586,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Tiên Tân,R80007100
3587,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Trịnh Xá,R80007097
3588,Tỉnh Hà Nam,Thành Phố Phủ Lý,Xã Đinh Xá,R80007094
3589,Tỉnh Hà Tĩnh,Huyện Can Lộc,Thị Trấn Nghèn,R80005333
3590,Tỉnh Hà Tĩnh,Huyện Can Lộc,Thị Trấn Đồng Lộc,R80005327
3591,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Gia Hanh,R80005315
3592,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Khánh Vĩnh Yên,R80319143
3593,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Kim Song Trường,R80319142
3594,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Mỹ Lộc,R80005320
3595,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Phú Lộc,R80005316
3596,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Quang Lộc,R80005329
3597,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Sơn Lộc,R80005317
3598,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Thanh Lộc,R80005332
3599,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Thiên Lộc,R80005330
3600,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Thuần Thiện,R80005334
3601,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Thường Nga,R80005319
3602,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Thượng Lộc,R80005318
3603,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Trung Lộc,R80005313
3604,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Tùng Lộc,R80005322
3605,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Vượng Lộc,R80005335
3606,Tỉnh Hà Tĩnh,Huyện Can Lộc,Xã Xuân Lộc,R80005326
3607,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Thị Trấn Cẩm Xuyên,R80005205
3608,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Thị Trấn Thiên Cầm,R80005203
3609,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Bình,R80005191
3610,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Duệ,R80005202
3611,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Dương,R80005206
3612,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Hà,R80005204
3613,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Hưng,R80005192
3614,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Lĩnh,R80005184
3615,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Lạc,R80005208
3616,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Lộc,R80005189
3617,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Minh,R80005186
3618,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Mỹ,R80005190
3619,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Nhượng,R80005183
3620,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Quan,R80005194
3621,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Quang,R80005198
3622,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Sơn,R80005199
3623,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Thành,R80005187
3624,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Thạch,R80005200
3625,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Thịnh,R80005195
3626,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Trung,R80005196
3627,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Cẩm Vịnh,R80005188
3628,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Nam Phúc Thăng,R80319141
3629,Tỉnh Hà Tĩnh,Huyện Cẩm Xuyên,Xã Yên Hòa,R80319140
3630,Tỉnh Hà Tĩnh,Huyện Hương Khê,Thị Trấn Hương Khê,R80005365
3631,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Gia Phố,R80005367
3632,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hà Linh,R80005381
3633,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hòa Hải,R80005382
3634,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Bình,R80005383
3635,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Giang,R80005368
3636,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Liên,R80005384
3637,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Long,R80005375
3638,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Lâm,R80005374
3639,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Thủy,R80005376
3640,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Trà,R80005370
3641,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Trạch,R80005377
3642,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Vĩnh,R80005378
3643,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Xuân,R80005371
3644,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Hương Đô,R80005373
3645,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Lộc Yên,R80005369
3646,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Phú Gia,R80005372
3647,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Phú Phong,R80005379
3648,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Phúc Trạch,R80005363
3649,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Phúc Đồng,R80005366
3650,Tỉnh Hà Tĩnh,Huyện Hương Khê,Xã Điền Mỹ,R80319159
3651,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Thị Trấn Phố Châu,R80005390
3652,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Thị Trấn Tây Sơn,R80005414
3653,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã An Hòa Thịnh,R80319145
3654,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Kim Hoa,R80319148
3655,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Quang Diệm,R80319147
3656,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn An,R80005385
3657,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Bình,R80005405
3658,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Bằng,R80005395
3659,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Châu,R80005386
3660,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Diệm,R80005404
3661,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Giang,R80005406
3662,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Hà,R80005412
3663,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Hàm,R80005399
3664,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Hòa,R80005415
3665,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Hồng,R80005400
3666,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Kim 1,R80005391
3667,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Kim 2,R80005396
3668,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Long,R80005407
3669,Tỉnh Hà Tĩnh,Huyện Hương Sơn,Xã Sơn Lâm,R80005401
